,days,bugs,diff,bug_diff,mean
55,305,4038,0,2,2
19,110,1546,1,17,17
42,245,3373,2,18,9
69,370,4960,2,28,14
89,468,6779,2,177,88.5
97,506,7592,2,62,31
1,29,201,3,117,39
2,32,411,3,210,70
3,35,471,3,60,20
7,55,841,3,52,17.33333333
12,77,1059,3,32,10.66666667
14,94,1277,3,64,21.33333333
15,97,1322,3,45,15
23,131,1853,3,70,23.33333333
32,188,2607,3,109,36.33333333
37,216,2955,3,26,8.666666667
43,248,3415,3,42,14
46,265,3541,3,13,4.333333333
48,273,3593,3,33,11
49,276,3609,3,16,5.333333333
53,301,3930,3,101,33.66666667
57,314,4130,3,52,17.33333333
62,342,4401,3,40,13.33333333
63,345,4474,3,73,24.33333333
64,348,4501,3,27,9
74,390,5387,3,41,13.66666667
79,419,5712,3,87,29
83,441,6114,3,146,48.66666667
84,444,6154,3,40,13.33333333
85,447,6211,3,57,19
91,475,6876,3,29,9.666666667
10,69,1004,4,35,8.75
16,101,1416,4,94,23.5
17,105,1441,4,25,6.25
18,109,1529,4,88,22
21,122,1751,4,132,33
41,243,3355,4,95,23.75
54,305,4036,4,106,26.5
67,363,4788,4,109,27.25
70,374,5137,4,177,44.25
72,383,5269,4,23,5.75
73,387,5346,4,77,19.25
81,433,5892,4,88,22
88,466,6602,4,238,59.5
90,472,6847,4,68,17
95,499,7455,4,95,23.75
4,40,591,5,120,24
8,60,908,5,67,13.4
9,65,969,5,61,12.2
11,74,1027,5,23,4.6
26,148,1940,5,10,2
29,165,2285,5,163,32.6
34,200,2715,5,45,9
45,262,3528,5,85,17
47,270,3560,5,19,3.8
66,359,4679,5,39,7.8
68,368,4932,5,144,28.8
71,379,5246,5,109,21.8
75,395,5409,5,22,4.4
82,438,5968,5,76,15.2
93,488,7291,5,312,62.4
96,504,7530,5,75,15
5,46,722,6,131,21.83333333
6,52,789,6,67,11.16666667
22,128,1783,6,32,5.333333333
24,137,1875,6,22,3.666666667
25,143,1930,6,55,9.166666667
27,154,2042,6,102,17
28,160,2122,6,80,13.33333333
35,206,2887,6,172,28.66666667
38,222,3028,6,73,12.16666667
39,228,3154,6,126,21
56,311,4078,6,40,6.666666667
58,320,4182,6,52,8.666666667
59,326,4206,6,24,4
60,332,4274,6,68,11.33333333
65,354,4640,6,139,23.16666667
77,408,5557,6,49,8.166666667
31,185,2498,7,119,17
33,195,2670,7,63,9
36,213,2929,7,42,6
50,283,3690,7,81,11.57142857
51,290,3764,7,74,10.57142857
61,339,4361,7,87,12.42857143
76,402,5508,7,99,14.14285714
87,462,6364,7,87,12.42857143
94,495,7360,7,69,9.857142857
99,521,7662,7,37,5.285714286
20,118,1619,8,73,9.125
52,298,3829,8,65,8.125
78,416,5625,8,68,8.5
86,455,6277,8,66,8.25
92,483,6979,8,103,12.875
98,514,7625,8,33,4.125
44,257,3443,9,28,3.111111111
80,429,5804,10,92,9.2
40,239,3260,11,106,9.636363636
30,178,2379,13,94,7.230769231
13,91,1213,14,154,11
0,26,84,26,84,3.230769231
