,author,times,average
0,Linus Torvalds ,174,266246
1,Hauke Mehrtens ,59,853094
2,Luuk Paulussen ,2,26549028
3,Christopher Covington ,3,9654648
4,Linus Walleij ,758,67667
5,Thomas Falcon ,24,2213722
6,Florian Fainelli ,254,196695
7,Peng Tao ,36,1316994
8,Arjun V ,1,0
9,Helge Deller ,82,487775
10,Gao Feng ,30,419458
11,Dan Carpenter ,537,94769
12,Roger Shimizu ,17,2798397
13,Daniele Palmas ,11,3351622
14,추지호 ,1,0
15,Jeff Layton ,112,425484
16,Stephan Mueller ,47,1122175
17,Kefeng Wang ,65,548457
18,Matthew Wilcox ,75,609724
19,Sergey Senozhatsky ,71,709371
20,Nicolai Stange ,51,924811
21,Stefan Agner ,147,336854
22,Jorik Jonker ,7,1448416
23,stephen hemminger ,33,1185161
24,Alex ,2,1797501
25,Alex Deucher ,536,90610
26,tim ,8,5466810
27,Horia Geantă ,13,2987150
28,Romain Perier ,35,1367300
29,Marc Kleine-Budde ,29,1791361
30,John David Anglin ,12,4049092
31,Dan Williams ,310,156302
32,Vishal Verma ,30,1577140
33,Mohamad Haj Yahia ,36,533074
34,Saeed Mahameed ,79,615478
35,Kamal Heib ,12,2125677
36,Nikita Yushchenko ,9,812819
37,Venkat Duvvuru ,6,8889302
38,Andy Lutomirski ,347,148437
39,Marcelo Ricardo Leitner ,71,696785
40,Jonas Gorski ,31,1537418
41,Niklas Cassel ,19,2349288
42,Miklos Szeredi ,156,297183
43,Dmitry Vyukov ,21,1909117
44,David Carrillo-Cisneros ,12,1422140
45,Peter Zijlstra (Intel) ,10,5548052
46,Piotr Luc ,6,863991
47,Jiri Slaby ,77,658221
48,Herbert Xu ,393,131128
49,"Mintz, Yuval ",6,685913
50,Pan Bian ,11,14095
51,Kees Cook ,149,316628
52,Suraj Deshmukh ,1,0
53,Alexander Duyck ,228,221388
54,Michal Hocko ,157,301013
55,Nicolas Pitre ,78,646647
56,Eric Dumazet ,481,104870
57,Sabrina Dubroca ,36,1220606
58,Michal Kubeček ,11,4245143
59,Chris Brandt ,11,2550007
60,Kristian Evensen ,6,5718121
61,Artem Savkov ,6,7900656
62,Sowmini Varadhan ,73,660685
63,Eli Cooper ,12,2452006
64,Philip Pettersson ,1,0
65,Lino Sanfilippo ,12,1960520
66,Arnd Bergmann ,1059,46458
67,Sudeep Holla ,131,383969
68,Johan Hovold ,655,87126
69,Tobias Klauser ,29,1840144
70,Thomas Gleixner ,480,106422
71,Sven Eckelmann ,183,262553
72,allan ,1,0
73,Stephane Grosjean ,3,18493631
74,Nicholas Piggin ,67,147838
75,Andrew Donnellan ,40,1043621
76,Kirill A. Shutemov ,171,290997
77,Chris Wilson ,816,65039
78,Takashi Iwai ,331,156170
79,Jérémy Lefaure ,2,3749396
80,Jeremy Linton ,27,1725631
81,Jason Wang ,35,1226162
82,Grygorii Strashko ,101,490684
83,Josef Bacik ,69,702872
84,Hongxu Jia ,1,0
85,Guillaume Nault ,32,1312706
86,Hariprasad Shenai ,155,322496
87,Mike Rapoport ,184,223673
88,Haishuang Yan ,15,1552855
89,Ping Cheng ,20,2671006
90,Daniele Di Proietto ,1,0
91,David Michael ,1,0
92,Harsh Jain ,2,13311241
93,Tobias Brunner ,4,3573367
94,Matthew Auld ,16,1411048
95,Yi Zhao ,1,0
96,Michel Dänzer ,37,1327021
97,Arnaldo Carvalho de Melo ,533,94302
98,Jiri Pirko ,220,223742
99,Zumeng Chen ,1,0
100,Cyrille Pitchen ,71,665670
101,Amir Vadai ,37,1317538
102,Florian Westphal ,223,224448
103,Jan Glauber ,36,703717
104,Yuriy Kolerov ,6,8072506
105,Uwe Kleine-König ,149,327124
106,Aaron Lu ,13,3933291
107,Peter Wu ,12,2799685
108,Benjamin Herrenschmidt ,75,590244
109,Eryu Guan ,16,2960928
110,Sachin Prabhu ,13,3732392
111,Rex Zhu ,222,147897
112,Michael Holzheu ,31,1629382
113,David Ahern ,154,327143
114,Tushar Dave ,13,3476026
115,Jack Morgenstein ,18,2494815
116,Tariq Toukan ,41,818355
117,Roi Dayan ,3,14712340
118,Borislav Petkov ,269,191279
119,Vineet Gupta ,273,177715
120,Julian Wollrath ,1,0
121,Martin Blumenstingl ,35,1387717
122,Daniel Borkmann ,210,238859
123,Ben Hutchings ,56,896737
124,Josh Poimboeuf ,157,214814
125,Peter Foley ,1,0
126,Jon Paul Maloy ,117,419623
127,Al Viro ,637,76883
128,Geliang Tang ,233,202972
129,Miroslav Lichvar ,1,0
130,Andrew Lunn ,194,256008
131,Rafael J. Wysocki ,229,216416
132,Jarkko Nikula ,98,483027
133,Robin Murphy ,108,441106
134,Mauricio Faria de Oliveira ,11,3375388
135,Viresh Kumar ,769,86235
136,Matt Redfearn ,64,629294
137,Paul Burton ,266,170384
138,Michael Ellerman ,180,273595
139,Aneesh Kumar K.V ,179,259183
140,Andrey Ryabinin ,65,740386
141,Arvind Yadav ,12,1201422
142,Roman Mashak ,4,2848362
143,Andy Gospodarek ,11,4866358
144,Radim Krčmář ,58,859968
145,Nicolas Schichan ,19,2711190
146,Paolo Abeni ,46,784514
147,Russell King ,460,113882
148,Liping Zhang ,66,320219
149,Anders K. Pedersen ,2,3276835
150,Laura Garcia Liebana ,36,699927
151,Marc Zyngier ,352,132907
152,Matthias Brugger ,13,3645161
153,Jitao Shi ,3,11517715
154,Bibby Hsieh ,10,1032221
155,Oliver O'Halloran ,16,1383703
156,Dmitry Safonov ,25,1592164
157,Mike Galbraith ,6,8273083
158,WANG Cong ,74,657943
159,Zhang Shengju ,19,1400138
160,Christophe Jaillet ,34,1470718
161,Randy Dunlap ,38,1198720
162,Kirill Esipov ,2,1440491
163,Johannes Thumshirn ,61,815867
164,Icenowy Zheng ,17,762925
165,Chris Metcalf ,64,788214
166,Song Hongyan ,3,776015
167,Benjamin Tissoires ,69,719589
168,Oliver Hartkopp ,16,3071689
169,Loic Pallardy ,2,682778
170,Miroslav Urbanek ,1,0
171,Suganath Prabu S ,1,0
172,Hannes Reinecke ,163,291866
173,Johan Hedberg ,110,438431
174,Maxime Ripard ,222,224922
175,Peter Zijlstra ,379,132538
176,Johannes Weiner ,79,572067
177,Oleg Nesterov ,112,417703
178,Mika Westerberg ,107,456856
179,Chen-Yu Tsai ,229,217714
180,Benjamin Coddington ,23,2021456
181,Peter Robinson ,6,6296112
182,Christoph Hellwig ,578,84903
183,Jacob Pan ,13,3426501
184,Alexander Shishkin ,114,416044
185,Jaehoon Chung ,37,1108738
186,Andy Shevchenko ,370,124765
187,H.J. Lu ,5,12204816
188,Yu-cheng Yu ,12,2010887
189,John Johansen ,21,568674
190,Theodore Ts'o ,71,680540
191,Eric Biggers ,36,1058777
192,Alex Hemme ,1,0
193,Paolo Bonzini ,203,240533
194,Ignacio Alvarado ,1,0
195,David Woodhouse ,53,781080
196,Alexey Khoroshilov ,43,1168855
197,Pavel Machek ,15,3524865
198,Babu Moger ,7,3642685
199,Trond Myklebust ,349,132893
200,Dave Kleikamp ,4,14169709
201,Stefan Hajnoczi ,16,3083066
202,Michael Walle ,5,10009492
203,Felix Hädicke ,4,2451146
204,Wei Huang ,13,3727752
205,Janakarajan Natarajan ,1,0
206,Johannes Berg ,352,142242
207,Michael Neuling ,50,941638
