author,times,average
Linus Torvalds ,174,266246
Hauke Mehrtens ,59,853094
Luuk Paulussen ,2,26549028
Christopher Covington ,3,9654648
Linus Walleij ,758,67667
Thomas Falcon ,24,2213722
Florian Fainelli ,254,196695
Peng Tao ,36,1316994
Arjun V ,1,0
Helge Deller ,82,487775
Gao Feng ,30,419458
Dan Carpenter ,537,94769
Roger Shimizu ,17,2798397
Daniele Palmas ,11,3351622
추지호 ,1,0
Jeff Layton ,112,425484
Stephan Mueller ,47,1122175
Kefeng Wang ,65,548457
Matthew Wilcox ,75,609724
Sergey Senozhatsky ,71,709371
Nicolai Stange ,51,924811
Stefan Agner ,147,336854
Jorik Jonker ,7,1448416
stephen hemminger ,33,1185161
Alex ,2,1797501
Alex Deucher ,536,90610
tim ,8,5466810
Horia Geantă ,13,2987150
Romain Perier ,35,1367300
Marc Kleine-Budde ,29,1791361
John David Anglin ,12,4049092
Dan Williams ,310,156302
Vishal Verma ,30,1577140
Mohamad Haj Yahia ,36,533074
Saeed Mahameed ,79,615478
Kamal Heib ,12,2125677
Nikita Yushchenko ,9,812819
Venkat Duvvuru ,6,8889302
Andy Lutomirski ,347,148437
Marcelo Ricardo Leitner ,71,696785
Jonas Gorski ,31,1537418
Niklas Cassel ,19,2349288
Miklos Szeredi ,156,297183
Dmitry Vyukov ,21,1909117
David Carrillo-Cisneros ,12,1422140
Peter Zijlstra (Intel) ,10,5548052
Piotr Luc ,6,863991
Jiri Slaby ,77,658221
Herbert Xu ,393,131128
"Mintz, Yuval ",6,685913
Pan Bian ,11,14095
Kees Cook ,149,316628
Suraj Deshmukh ,1,0
Alexander Duyck ,228,221388
Michal Hocko ,157,301013
Nicolas Pitre ,78,646647
Eric Dumazet ,481,104870
Sabrina Dubroca ,36,1220606
Michal Kubeček ,11,4245143
Chris Brandt ,11,2550007
Kristian Evensen ,6,5718121
Artem Savkov ,6,7900656
Sowmini Varadhan ,73,660685
Eli Cooper ,12,2452006
Philip Pettersson ,1,0
Lino Sanfilippo ,12,1960520
Arnd Bergmann ,1059,46458
Sudeep Holla ,131,383969
Johan Hovold ,655,87126
Tobias Klauser ,29,1840144
Thomas Gleixner ,480,106422
Sven Eckelmann ,183,262553
allan ,1,0
Stephane Grosjean ,3,18493631
Nicholas Piggin ,67,147838
Andrew Donnellan ,40,1043621
Kirill A. Shutemov ,171,290997
Chris Wilson ,816,65039
Takashi Iwai ,331,156170
Jérémy Lefaure ,2,3749396
Jeremy Linton ,27,1725631
Jason Wang ,35,1226162
Grygorii Strashko ,101,490684
Josef Bacik ,69,702872
Hongxu Jia ,1,0
Guillaume Nault ,32,1312706
Hariprasad Shenai ,155,322496
Mike Rapoport ,184,223673
Haishuang Yan ,15,1552855
Ping Cheng ,20,2671006
Daniele Di Proietto ,1,0
David Michael ,1,0
Harsh Jain ,2,13311241
Tobias Brunner ,4,3573367
Matthew Auld ,16,1411048
Yi Zhao ,1,0
Michel Dänzer ,37,1327021
Arnaldo Carvalho de Melo ,533,94302
Jiri Pirko ,220,223742
Zumeng Chen ,1,0
Cyrille Pitchen ,71,665670
Amir Vadai ,37,1317538
Florian Westphal ,223,224448
Jan Glauber ,36,703717
Yuriy Kolerov ,6,8072506
Uwe Kleine-König ,149,327124
Aaron Lu ,13,3933291
Peter Wu ,12,2799685
Benjamin Herrenschmidt ,75,590244
Eryu Guan ,16,2960928
Sachin Prabhu ,13,3732392
Rex Zhu ,222,147897
Michael Holzheu ,31,1629382
David Ahern ,154,327143
Tushar Dave ,13,3476026
Jack Morgenstein ,18,2494815
Tariq Toukan ,41,818355
Roi Dayan ,3,14712340
Borislav Petkov ,269,191279
Vineet Gupta ,273,177715
Julian Wollrath ,1,0
Martin Blumenstingl ,35,1387717
Daniel Borkmann ,210,238859
Ben Hutchings ,56,896737
Josh Poimboeuf ,157,214814
Peter Foley ,1,0
Jon Paul Maloy ,117,419623
Al Viro ,637,76883
Geliang Tang ,233,202972
Miroslav Lichvar ,1,0
Andrew Lunn ,194,256008
Rafael J. Wysocki ,229,216416
Jarkko Nikula ,98,483027
Robin Murphy ,108,441106
Mauricio Faria de Oliveira ,11,3375388
Viresh Kumar ,769,86235
Matt Redfearn ,64,629294
Paul Burton ,266,170384
Michael Ellerman ,180,273595
Aneesh Kumar K.V ,179,259183
Andrey Ryabinin ,65,740386
Arvind Yadav ,12,1201422
Roman Mashak ,4,2848362
Andy Gospodarek ,11,4866358
Radim Krčmář ,58,859968
Nicolas Schichan ,19,2711190
Paolo Abeni ,46,784514
Russell King ,460,113882
Liping Zhang ,66,320219
Anders K. Pedersen ,2,3276835
Laura Garcia Liebana ,36,699927
Marc Zyngier ,352,132907
Matthias Brugger ,13,3645161
Jitao Shi ,3,11517715
Bibby Hsieh ,10,1032221
Oliver O'Halloran ,16,1383703
Dmitry Safonov ,25,1592164
Mike Galbraith ,6,8273083
WANG Cong ,74,657943
Zhang Shengju ,19,1400138
Christophe Jaillet ,34,1470718
Randy Dunlap ,38,1198720
Kirill Esipov ,2,1440491
Johannes Thumshirn ,61,815867
Icenowy Zheng ,17,762925
Chris Metcalf ,64,788214
Song Hongyan ,3,776015
Benjamin Tissoires ,69,719589
Oliver Hartkopp ,16,3071689
Loic Pallardy ,2,682778
Miroslav Urbanek ,1,0
Suganath Prabu S ,1,0
Hannes Reinecke ,163,291866
Johan Hedberg ,110,438431
Maxime Ripard ,222,224922
Peter Zijlstra ,379,132538
Johannes Weiner ,79,572067
Oleg Nesterov ,112,417703
Mika Westerberg ,107,456856
Chen-Yu Tsai ,229,217714
Benjamin Coddington ,23,2021456
Peter Robinson ,6,6296112
Christoph Hellwig ,578,84903
Jacob Pan ,13,3426501
Alexander Shishkin ,114,416044
Jaehoon Chung ,37,1108738
Andy Shevchenko ,370,124765
H.J. Lu ,5,12204816
Yu-cheng Yu ,12,2010887
John Johansen ,21,568674
Theodore Ts'o ,71,680540
Eric Biggers ,36,1058777
Alex Hemme ,1,0
Paolo Bonzini ,203,240533
Ignacio Alvarado ,1,0
David Woodhouse ,53,781080
Alexey Khoroshilov ,43,1168855
Pavel Machek ,15,3524865
Babu Moger ,7,3642685
Trond Myklebust ,349,132893
Dave Kleikamp ,4,14169709
Stefan Hajnoczi ,16,3083066
Michael Walle ,5,10009492
Felix Hädicke ,4,2451146
Wei Huang ,13,3727752
Janakarajan Natarajan ,1,0
Johannes Berg ,352,142242
Michael Neuling ,50,941638
Wei Yongjun ,326,154555
Cédric Le Goater ,4,15336064
Dave Airlie ,71,658499
Tony Lindgren ,210,232700
Brian Norris ,197,247008
Abhi Das ,10,5390631
Andreas Gruenbacher ,111,422245
Dmitry Torokhov ,112,433934
Steve Wise ,39,1212991
Yonatan Cohen ,8,756425
Matan Barak ,61,771508
Daniel Jurgens ,14,1817050
Eli Cohen ,35,1054136
Moshe Lazer ,3,11236672
Maor Gottlieb ,69,497953
Majd Dibbiny ,26,1835334
Mark Bloch ,21,808091
Leon Romanovsky ,33,1379726
Joao Pinto ,23,985997
Lv Zheng ,190,251841
Keno Fischer ,1,0
Keith Busch ,117,405168
Stephen Boyd ,465,105935
Sunil Goutham ,64,739208
Radha Mohan Chintakuntla ,4,13701816
Mike Marshall ,66,545051
Paul Jakma ,1,0
Heikki Krogerus ,66,734663
Azhar Shaikh ,1,0
Kan Liang ,63,735481
David Herrmann ,23,2203356
Ville Syrjälä ,712,72404
Pablo Neira ,14,3670753
Alexander Kochetkov ,9,3177362
Giuseppe CAVALLARO ,22,1444981
Hangbin Liu ,5,10240119
Dennis Dalessandro ,123,314982
Jianxin Xiong ,21,1079199
Dasaratharaman Chandramouli ,10,5421451
Jakub Pawlak ,8,2294549
Krzysztof Blaszkowski ,2,3
Ira Weiny ,98,487361
Easwar Hariharan ,32,1074541
Tadeusz Struk ,95,506080
Monk Liu ,47,524020
Peter Chen ,125,395695
Jia Jie Ho ,1,0
Marek Szyprowski ,190,250773
Benjamin Beichler ,1,0
Felix Fietkau ,62,787524
"Pedersen, Thomas ",4,1846935
Filip Matusiak ,1,0
Petr Vandrovec ,2,651442
Ido Schimmel ,198,207715
Steven Rostedt (Red Hat) ,144,332999
Alexei Starovoitov ,110,444478
Xin Long ,73,404379
Baoquan He ,26,1666631
Hoan Tran ,11,1244089
H. Nikolaus Schaller ,35,1415998
Max Filippov ,78,577116
Thomas Tai ,2,323588
Colin Ian King ,282,176405
Mauro Carvalho Chehab ,1175,41667
Scott Mayhew ,9,6047761
Axl-zhang ,1,0
Sagi Grimberg ,153,309941
Bart Van Assche ,178,266167
Dave Jiang ,107,406042
Nicholas Mc Guire ,76,682204
Bert Kenward ,20,2019077
Arkadi Sharshevsky ,1,0
Yotam Gigi ,19,629148
Michael Chan ,113,299028
Mike Frysinger ,5,9310619
Stephen Suryaputra Lin ,1,0
Guenter Roeck ,242,192064
Sven Ebenfeld ,1,0
Matt Fleming ,63,746950
Baruch Siach ,40,1230169
Martin KaFai Lau ,54,914786
Jens Axboe ,86,566000
Andrey Grodzovsky ,5,6078627
Hugh Dickins ,43,923885
Matias Bjørling ,88,509869
Fabio Estevam ,286,173131
Sean Young ,13,3991186
Jakub Kicinski ,85,548556
Greg Thelen ,7,7604190
Mike Kravetz ,28,1618050
Junxiao Bi ,22,1467414
Hans de Goede ,350,139728
Naoya Horiguchi ,38,1180739
Jann Horn ,26,1565080
Shiraz Hashim ,1,0
Alexey Dobriyan ,23,2041008
Vlastimil Babka ,77,574833
Tetsuo Handa ,27,1343087
Mario Kleiner ,37,1337414
Eugeniy Paltsev ,2,4873417
Andreas Larsson ,2,16947345
Peter Rosin ,45,799442
Wolfram Sang ,473,99295
Ilya Dryomov ,150,292503
"Yan, Zheng ",129,352492
Ram Amrani ,19,1214170
Shawn Lin ,138,284627
Lance Richardson ,12,2408242
Chuck Lever ,199,230021
Hui Wang ,21,2173581
Allan Chou ,1,0
Mathias Krause ,40,1137916
Richard Weinberger ,109,442180
John Allen ,6,5183902
Timur Tabi ,19,2309563
Adam Ford ,26,1192819
Sebastian Andrzej Siewior ,93,526219
Rafał Miłecki ,170,282445
Benjamin Poirier ,18,2322196
Maciej Żenczykowski ,4,1166901
Soheil Hassas Yeganeh ,16,1261070
Sumit Saxena ,26,1264945
Yazen Ghannam ,28,1259787
Namhyung Kim ,231,210385
Lucas Stach ,137,333596
Marcin Wojtas ,30,1360400
Gregory CLEMENT ,67,697642
Varun Prakash ,45,454971
Bjorn Helgaas ,280,170703
Noam Camus ,39,1197828
Andrew Shadura ,2,20996739
Joerg Roedel ,197,233280
Phil Reid ,24,1399210
Heiko Carstens ,166,288013
Fabian Mewes ,1,0
Michael S. Tsirkin ,108,444472
Nicolae Rosia ,1,0
Dave Gerlach ,45,1030742
Shuah Khan ,79,557531
Anna Schumaker ,20,2346185
Dhinakaran Pandiyan ,5,1269459
Lyude ,57,522914
Christophe JAILLET ,37,1156511
Ulf Hansson ,97,469966
Adrian Hunter ,289,167385
Lukas Wunner ,106,416929
Marc Dietrich ,1,0
Paul Fertser ,2,0
Ian Abbott ,197,245451
Andrew Jeffery ,18,990136
Huacai Chen ,25,1917132
Doug Brown ,1,0
Oliver Neukum ,72,593828
David Lechner ,25,745649
Catalin Marinas ,55,819625
"Ooi, Joyce ",1,0
Srinivas Pandruvada ,74,656265
Even Xu ,3,0
Axel Haslam ,28,1058120
Randy Li ,8,1098155
Tero Kristo ,74,617260
Lokesh Vutla ,24,1795292
Vladimir Zapolskiy ,202,233584
Huy Nguyen ,2,22563010
Or Gerlitz ,70,663229
Shih-Wei Li ,1,0
Andre Przywara ,92,503121
Archit Taneja ,152,305068
Stéphan Rafin ,1,0
James Hogan ,269,173867
Maciej W. Rozycki ,56,787338
Guilherme G. Piccoli ,13,3134624
Alexey Brodkin ,50,887242
Stefan Richter ,6,6290269
Gerd Hoffmann ,28,1746810
Owen Hofmann ,2,21207261
Dongli Zhang ,2,170884
Jim Mattson ,4,3199039
Sylwester Nawrocki ,52,521678
Rob Clark ,86,518300
Scott Wood ,46,994385
Emil Lundmark ,1,0
Bill Kuzeja ,1,0
Jason Gunthorpe ,44,958183
David Jeffery ,2,37284038
Sreekanth Reddy ,42,912431
tang.junhui ,3,1542255
Isaac Boukris ,1,0
Iyappan Subramanian ,55,881335
Stephen Hemminger ,33,1422472
Felipe Balbi ,211,223735
Laura Abbott ,52,831459
Alexandre TORGUE ,43,502523
Patrice Chotard ,37,668237
Ray Jui ,56,843739
Masahiro Yamada ,373,125450
Lars-Peter Clausen ,348,137795
Lukas Resch ,1,0
Srinivas Kandagatla ,193,248800
Jakub Sitnicki ,25,1870522
Christian König ,461,98438
Grazvydas Ignotas ,28,1498324
Alexander Usyskin ,84,547469
Larry Finger ,74,585443
Jarkko Sakkinen ,57,775658
Rob Herring ,103,466481
Vivek Gautam ,2,3837277
